Variable Values			
Question		Value	Label
QArea	( QArea) 請問您目前一週居住四天以上的地區是？（單選）	1	北部
	#N/A	2	中部
	#N/A	3	南部
	#N/A	4	東部+離島
S1	( S1) S1. 請問您的性別是？（單選）	1	男
	#N/A	2	女
S2	( S2) S2.	請問，您今年幾歲？	1	14歲及以下（民國100年及以後出生）
	#N/A	2	15~19歲（民國95年~99年出生）
	#N/A	3	20~24歲（民國90年~94年出生）
	#N/A	4	25~29歲（民國85年~89年出生）
	#N/A	5	30~34歲（民國80年~84年出生）
	#N/A	6	35~39歲（民國75年~79年出生）
	#N/A	7	40~44歲（民國70年~74年出生）
	#N/A	8	45~49歲（民國65年~69年出生）
	#N/A	9	50~54歲（民國60年~64年出生）
	#N/A	10	55~59歲（民國55年~59年出生）
	#N/A	11	60~64歲（民國50年~54年出生）
	#N/A	12	65~69歲（民國45年~49年出生）
	#N/A	13	70歲及以上（民國44年及以前出生）
S3	( S3) S3. 請問您目前一週居住四天以上的地區是？（單選）	1	台北市
	#N/A	2	新北市
	#N/A	3	基隆市
	#N/A	4	桃園市
	#N/A	5	新竹縣
	#N/A	6	新竹市
	#N/A	7	宜蘭縣
	#N/A	8	苗栗縣
	#N/A	9	台中市
	#N/A	10	南投縣
	#N/A	11	彰化縣
	#N/A	12	雲林縣
	#N/A	13	嘉義縣
	#N/A	14	嘉義市
	#N/A	15	台南市
	#N/A	16	高雄市
	#N/A	17	屏東縣
	#N/A	18	花蓮縣
	#N/A	19	台東縣
	#N/A	20	澎湖縣
	#N/A	21	金門縣
	#N/A	22	連江縣（馬祖）
	#N/A	99	居住於其他地區
A101	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C1 - 咖啡	0	No
	#N/A	1	Yes
A102	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C2 - 手搖飲料／果汁	0	No
	#N/A	1	Yes
A103	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C3 - 速食（麥當勞、肯德基、摩斯等）	0	No
	#N/A	1	Yes
A104	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C4 - 快食品（泡麵、微波食品等）	0	No
	#N/A	1	Yes
A105	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C5 - 有益食品（燕麥奶、薏仁飲、優格等）	0	No
	#N/A	1	Yes
A106	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C6 - 生活科技產品（廚餘處理機、微型洗衣機等）	0	No
	#N/A	1	Yes
A107	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C7 - 護膚／保養品（乳液、化妝水、防曬乳等）	0	No
	#N/A	1	Yes
A108	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C8 - 保健食品（維生素、魚油、葉黃素等）	0	No
	#N/A	1	Yes
A109	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C9 - 健康補品（人蔘飲、雞精等）	0	No
	#N/A	1	Yes
A110	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C10 - 募資產品（嘖嘖zeczec、flyingV募資等）	0	No
	#N/A	1	Yes
A111	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C11 - 運動健身服飾／器材／課程	0	No
	#N/A	1	Yes
A112	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C12 - 玩具／模型公仔	0	No
	#N/A	1	Yes
A113	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C13 - 旅行／露營用品	0	No
	#N/A	1	Yes
A114	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C14 - 沖泡飲品（沖泡咖啡、茶包、奶茶粉等）	0	No
	#N/A	1	Yes
A115	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C15 - 語言教學課程（英、日、韓文等教學）	0	No
	#N/A	1	Yes
A116	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C16 - 彩妝品（眼影、口紅、睫毛膏等）	0	No
	#N/A	1	Yes
A117	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C17 - 個人電子影音商品（攜帶型投影機、相機、藍芽耳機等）	0	No
	#N/A	1	Yes
A118	( A1) A1.請問您「近半年」有購買下列哪些產品？包含網路線上購物與實體商家消費。（可複選）: C99 - 以上皆無	0	No
	#N/A	1	Yes
A2	( A2) A2.扣除工作與學習所需，請問您平均每天利用閒暇時間上網的時間約多長？（單選）	1	扣除工作和學習所需，幾乎不會再上網
	#N/A	2	30分鐘（含）以下
	#N/A	3	31~59分鐘
	#N/A	4	1小時~2小時59分
	#N/A	5	3小時~ 4小時59分
	#N/A	6	5小時~6小時59分
	#N/A	7	7小時（含）以上
C1a1	( C1a) C1a.過去一年內，請問您有使用下列哪些「內容管道／平台」收看影視內容（含新聞、影劇、綜藝、體育、卡通／動畫等）？（可複選）: C1 - 無線／有線電視頻道	0	No
	#N/A	1	Yes
